date,product_name,units_sold
2021-05-01,Pen,12
2021-05-01,Pencil,10
2021-05-01,Eraser,5
2021-05-01,Notebook,5
2021-05-01,Ruler,5
2021-05-01,Marker,3
2021-05-01,Sharpener,2
2021-05-02,Pen,12
2021-05-02,Pencil,10
2021-05-02,Eraser,5
2021-05-02,Notebook,5
2021-05-02,Ruler,5
2021-05-02,Marker,3
2021-05-02,Sharpener,2
2021-05-03,Pen,12
2021-05-03,Pencil,10
2021-05-03,Eraser,5
2021-05-03,Notebook,5
2021-05-03,Ruler,5
2021-05-03,Marker,3
2021-05-03,Sharpener,2
2021-05-04,Pen,12
2021-05-04,Pencil,10
2021-05-04,Eraser,5
2021-05-04,Notebook,5
2021-05-04,Ruler,5
2021-05-04,Marker,3
2021-05-04,Sharpener,2
2021-05-05,Pen,12
2021-05-05,Pencil,10
2021-05-05,Eraser,5
2021-05-05,Notebook,5
2021-05-05,Ruler,5
2021-05-05,Marker,3
2021-05-05,Sharpener,2
2021-05-06,Pen,12
2021-05-06,Pencil,10
2021-05-06,Eraser,5
2021-05-06,Notebook,5
2021-05-06,Ruler,5
2021-05-06,Marker,3
2021-05-06,Sharpener,2
2021-05-07,Pen,12
2021-05-07,Pencil,10
2021-05-07,Eraser,5
2021-05-07,Notebook,5
2021-05-07,Ruler,5
2021-05-07,Marker,3
2021-05-07,Sharpener,2
2021-05-08,Pen,12
2021-05-08,Pencil,10
2021-05-08,Eraser,5
2021-05-08,Notebook,5
2021-05-08,Ruler,5
2021-05-08,Marker,3
2021-05-08,Sharpener,2
2021-05-09,Pen,12
2021-05-09,Pencil,10
2021-05-09,Eraser,5
2021-05-09,Notebook,5
2021-05-09,Ruler,5
2021-05-09,Marker,3
2021-05-09,Sharpener,2
2021-05-10,Pen,12
2021-05-10,Pencil,10
2021-05-10,Eraser,5
2021-05-10,Notebook,5
2021-05-10,Ruler,5
2021-05-10,Marker,3
2021-05-10,Sharpener,2
2021-05-11,Pen,12
2021-05-11,Pencil,10
2021-05-11,Eraser,5
2021-05-11,Notebook,5
2021-05-11,Ruler,5
2021-05-11,Marker,3
2021-05-11,Sharpener,2
2021-05-12,Pen,12
2021-05-12,Pencil,10
2021-05-12,Eraser,5
2021-05-12,Notebook,5
2021-05-12,Ruler,5
2021-05-12,Marker,3
2021-05-12,Sharpener,2
2021-05-13,Pen,12
2021-05-13,Pencil,10
2021-05-13,Eraser,5
2021-05-13,Notebook,5
2021-05-13,Ruler,5
2021-05-13,Marker,3
2021-05-13,Sharpener,2
2021-05-14,Pen,12
2021-05-14,Pencil,10
2021-05-14,Eraser,5
2021-05-14,Notebook,5
2021-05-14,Ruler,5
2021-05-14,Marker,3
2021-05-14,Sharpener,2
2021-05-15,Pen,12
2021-05-15,Pencil,10
2021-05-15,Eraser,5
2021-05-15,Notebook,5
2021-05-15,Ruler,5
2021-05-15,Marker,3
2021-05-15,Sharpener,2
2021-05-16,Pen,12
2021-05-16,Pencil,10
2021-05-16,Eraser,5
2021-05-16,Notebook,5
2021-05-16,Ruler,5
2021-05-16,Marker,3
2021-05-16,Sharpener,2
2021-05-17,Pen,12
2021-05-17,Pencil,10
2021-05-17,Eraser,5
2021-05-17,Notebook,5
2021-05-17,Ruler,5
2021-05-17,Marker,3
2021-05-17,Sharpener,2
2021-05-18,Pen,12
2021-05-18,Pencil,10
2021-05-18,Eraser,5
2021-05-18,Notebook,5
2021-05-18,Ruler,5
2021-05-18,Marker,3
2021-05-18,Sharpener,2
2021-05-19,Pen,12
2021-05-19,Pencil,10
2021-05-19,Eraser,5
2021-05-19,Notebook,5
2021-05-19,Ruler,5
2021-05-19,Marker,3
2021-05-19,Sharpener,2
2021-05-20,Pen,12
2021-05-20,Pencil,10
2021-05-20,Eraser,5
2021-05-20,Notebook,5
2021-05-20,Ruler,5
2021-05-20,Marker,3
2021-05-20,Sharpener,2
2021-05-21,Pen,12
2021-05-21,Pencil,10
2021-05-21,Eraser,5
2021-05-21,Notebook,5
2021-05-21,Ruler,5
2021-05-21,Marker,3
2021-05-21,Sharpener,2
2021-05-22,Pen,12
2021-05-22,Pencil,10
2021-05-22,Eraser,5
2021-05-22,Notebook,5
2021-05-22,Ruler,5
2021-05-22,Marker,3
2021-05-22,Sharpener,2
2021-05-23,Pen,12
2021-05-23,Pencil,10
2021-05-23,Eraser,5
2021-05-23,Notebook,5
2021-05-23,Ruler,5
2021-05-23,Marker,3
2021-05-23,Sharpener,2
2021-05-24,Pen,12
2021-05-24,Pencil,10
2021-05-24,Eraser,5
2021-05-24,Notebook,5
2021-05-24,Ruler,5
2021-05-24,Marker,3
2021-05-24,Sharpener,2
2021-05-25,Pen,12
2021-05-25,Pencil,10
2021-05-25,Eraser,5
2021-05-25,Notebook,5
2021-05-25,Ruler,5
2021-05-25,Marker,3
2021-05-25,Sharpener,2
2021-05-26,Pen,12
2021-05-26,Pencil,10
2021-05-26,Eraser,5
2021-05-26,Notebook,5
2021-05-26,Ruler,5
2021-05-26,Marker,3
2021-05-26,Sharpener,2
2021-05-27,Pen,12
2021-05-27,Pencil,10
2021-05-27,Eraser,5
2021-05-27,Notebook,5
2021-05-27,Ruler,5
2021-05-27,Marker,3
2021-05-27,Sharpener,2
2021-05-28,Pen,12
2021-05-28,Pencil,10
2021-05-28,Eraser,5
2021-05-28,Notebook,5
2021-05-28,Ruler,5
2021-05-28,Marker,3
2021-05-28,Sharpener,2
2021-05-29,Pen,12
2021-05-29,Pencil,10
2021-05-29,Eraser,5
2021-05-29,Notebook,5
2021-05-29,Ruler,5
2021-05-29,Marker,3
2021-05-29,Sharpener,2
2021-05-30,Pen,12
2021-05-30,Pencil,10
2021-05-30,Eraser,5
2021-05-30,Notebook,5
2021-05-30,Ruler,5
2021-05-30,Marker,3
2021-05-30,Sharpener,2
2021-05-31,Pen,12
2021-05-31,Pencil,10
2021-05-31,Eraser,5
2021-05-31,Notebook,5
2021-05-31,Ruler,5
2021-05-31,Marker,3
2021-05-31,Sharpener,2
2021-06-01,Pen,12
2021-06-01,Pencil,10
2021-06-01,Eraser,5
2021-06-01,Notebook,5
2021-06-01,Ruler,5
2021-06-01,Marker,3
2021-06-01,Sharpener,2
2021-06-02,Pen,12
2021-06-02,Pencil,10
2021-06-02,Eraser,5
2021-06-02,Notebook,5
2021-06-02,Ruler,5
2021-06-02,Marker,3
2021-06-02,Sharpener,2
2021-06-03,Pen,12
2021-06-03,Pencil,10
2021-06-03,Eraser,5
2021-06-03,Notebook,5
2021-06-03,Ruler,5
2021-06-03,Marker,3
2021-06-03,Sharpener,2
2021-06-04,Pen,12
2021-06-04,Pencil,10
2021-06-04,Eraser,5
2021-06-04,Notebook,5
2021-06-04,Ruler,5
2021-06-04,Marker,3
2021-06-04,Sharpener,2
2021-06-05,Pen,12
2021-06-05,Pencil,10
2021-06-05,Eraser,5
2021-06-05,Notebook,5
2021-06-05,Ruler,5
2021-06-05,Marker,3
2021-06-05,Sharpener,2
2021-06-06,Pen,12
2021-06-06,Pencil,10
2021-06-06,Eraser,5
2021-06-06,Notebook,5
2021-06-06,Ruler,5
2021-06-06,Marker,3
2021-06-06,Sharpener,2
2021-06-07,Pen,12
2021-06-07,Pencil,10
2021-06-07,Eraser,5
2021-06-07,Notebook,5
2021-06-07,Ruler,5
2021-06-07,Marker,3
2021-06-07,Sharpener,2
2021-06-08,Pen,12
2021-06-08,Pencil,10
2021-06-08,Eraser,5
2021-06-08,Notebook,5
2021-06-08,Ruler,5
2021-06-08,Marker,3
2021-06-08,Sharpener,2
2021-06-09,Pen,12
2021-06-09,Pencil,10
2021-06-09,Eraser,5
2021-06-09,Notebook,5
2021-06-09,Ruler,5
2021-06-09,Marker,3
2021-06-09,Sharpener,2
2021-06-10,Pen,12
2021-06-10,Pencil,10
2021-06-10,Eraser,5
2021-06-10,Notebook,5
2021-06-10,Ruler,5
2021-06-10,Marker,3
2021-06-10,Sharpener,2
2021-06-11,Pen,12
2021-06-11,Pencil,10
2021-06-11,Eraser,5
2021-06-11,Notebook,5
2021-06-11,Ruler,5
2021-06-11,Marker,3
2021-06-11,Sharpener,2
2021-06-12,Pen,12
2021-06-12,Pencil,10
2021-06-12,Eraser,5
